newspaper,language,date,url,text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://nation.foxnews.com/?cmpid=org=NAT::ag=owned::mc=FNC_display::src=FNC_web::cmp=Homepage::add=RuthlessRNC_SnackBar&utm_source=FNC_display&utm_medium=FNC_web&utm_campaign=Homepage&utm_content=RuthlessRNC_SnackBar,Stream Ruthless Behind the Scenes: RNC 2026 exclusively on Fox Nation,0.000348,0.000166,0.001344,0.000381,0.001022,0.000126,0.000082,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/deprogrammed-former-dsa-insider-reveals-frightening-socialist-agenda-drove-him-extreme-ideology,Ex-DSA leader sounds alarm over group's direction: 'My advice would be to leave',0.000556,0.000023,0.000130,0.000113,0.000176,0.000046,0.000026,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/taylor-swift-quiet-friend-ed-sheeran-takes-heat-over-macklemore-free-palestine-concert-fiasco,Fans baffled by the A-lister who won't defend a famous friend amid tour chaos,0.002370,0.000019,0.000192,0.000174,0.000653,0.000055,0.000028,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/deals/levoit-vacuum-amazon-deal,"This $200 cordless vacuum dropped to $150 on Amazon — over 10,000 sold last month",0.000447,0.000021,0.000118,0.000082,0.000236,0.000030,0.000019,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/dems-data-center-attack-critical-senate-race-hits-snag-money-trail-surfaces-jekyll-hyde,Sen hopeful's favorite narrative crumbles after detail in latest ad puts him in hot seat,0.006004,0.000032,0.000376,0.000140,0.001712,0.000271,0.000102,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxbusiness.com/retail/fast-food-chain-where-managers-average-more-than-200k-year,The fast-food chain where managers average more than $200K a year,0.000409,0.000021,0.000137,0.000088,0.000208,0.000034,0.000021,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/trump-announces-white-house-ban-three-media-outlets,"President Trump targets three news outlets, announces ban from entering White House",0.003585,0.000051,0.000208,0.000926,0.000658,0.000092,0.000041,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxweather.com/earth-space/new-species-cat-discovered-first-time-over-100-years,SEE IT: New wild cat discovered after hiding in plain sight for over 100 years,0.000407,0.000052,0.000393,0.000108,0.000285,0.000055,0.000053,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/deals/amazon-weekend-deals,"Amazon weekend deals: $60 leather clogs, $600 off a Hisense TV and more up to 70% off",0.017540,0.000019,0.000599,0.000139,0.009525,0.000034,0.000037,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/video/6405297591112,Hasan Piker reveals he'd 'absolutely' campaign for AOC in 2028,0.000304,0.000032,0.000223,0.000096,0.000232,0.000040,0.000028,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/travel/strange-rock-catches-scientist-eye-creek-search-leading-rare-discovery,"Strange rock catches scientist's eye during creek search, leading to rare discovery",0.000541,0.000018,0.000114,0.000089,0.000206,0.000026,0.000023,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/video/6405210932112,Ancient mastodon tooth found in California creek may point to more remains buried,0.000550,0.000032,0.000191,0.000110,0.000308,0.000044,0.000028,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/video/6405263336112,Residents in all-American town say Islamic surge is wreaking havoc on neighborhood,0.075730,0.000138,0.000432,0.039244,0.003047,0.003297,0.000194,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/video/6405245172112,Newly released UFO files reveal eerie footage of unexplained objects over Utah,0.000368,0.000055,0.000269,0.000164,0.000208,0.000080,0.000039,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/video/6405270552112,Ole Miss fans sound off on Lane Kiffin ahead of LSU showdown,0.001130,0.000030,0.000303,0.000098,0.000293,0.000093,0.000060,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/video/6405251164112,Ilhan Omar grilled on criminal investigation confirmed by Border Czar Tom Homan,0.007682,0.000036,0.000753,0.000281,0.003080,0.000093,0.000084,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxbusiness.com/video/6405256891112,Trump ramps up economic pressure on Iran amid rising oil and diesel prices,0.000696,0.000016,0.000088,0.000115,0.000210,0.000037,0.000018,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/video/6405243337112,Lindsay Clancy case: Holdout juror breaks silence on deliberation tension,0.000489,0.000046,0.000431,0.000128,0.000530,0.000062,0.000044,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/video/6405252601112,Trace Gallagher reveals the parenting lesson every 'girl dad' should know: 'Just listen',0.001836,0.000022,0.000203,0.000185,0.000847,0.000039,0.000085,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/entertainment/jennifer-aniston-romance-jim-curtis-faces-celebrity-relationship-trap-expert-warns,Jennifer Aniston may be making classic mistake as Jim Curtis romance deepens: expert,0.001040,0.000027,0.000314,0.000094,0.000526,0.000043,0.000072,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/lifestyle/fox-news-digital-news-quiz-september-18-2026,"Macklemore outplayed by Robert Kraft, woman caught in pricey romance scam",0.012916,0.000117,0.000766,0.002192,0.004278,0.000230,0.000565,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/outkick-sports/week-gainesville-forgot-football-inside-terror-gripped-florida-1990-murders,"Inside the week a serial killer paralyzed Gainesville, and how Steve Spurrier revived it",0.005746,0.000013,0.000120,0.000132,0.002469,0.000040,0.000020,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/sorority-alumnae-legal-fight-federal-court-given-brother-instead-sisterhood,Sorority alumnae battle national leaders in court after being 'given a brother',0.000802,0.000018,0.000132,0.000088,0.000309,0.000025,0.000033,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/travel/midair-brawl-erupts-packed-flight-screaming-passengers-jump-from-seats,"Passengers scream, leap from seats as violent midair brawl erupts on London-bound flight",0.008477,0.000039,0.000274,0.000324,0.001433,0.000821,0.000067,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/health/kim-kardashian-reveals-new-health-scare-haunting-connection-fathers-cancer-death,Kim Kardashian reveals new diagnosis with haunting connection to father's death,0.000857,0.000030,0.000157,0.000109,0.000178,0.000114,0.000047,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/entertainment/duncan-sheik-barely-breathing-singer-dead-56,"'90s hitmaker dead at 56, leaves behind wife and 7-year-old daughter",0.008848,0.000040,0.000631,0.000121,0.003318,0.000199,0.000358,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/unsealed-fbi-interviews-reveal-obama-emanuel-discussions-about-blagojevich-senate-seat-deal,Unsealed FBI interviews reveal Obama discussions about Blagojevich Senate seat deal,0.000375,0.000029,0.000203,0.000090,0.000292,0.000038,0.000025,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/opinion/resident-evil-review-director-zach-cregger-delivers-infectious-reboot-gory-video-game-franchise,REVIEW: Director Zach Cregger continues impressive streak with 'Resident Evil',0.000601,0.000025,0.000200,0.000119,0.000451,0.000029,0.000021,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/lifestyle/mountain-lion-caught-camera-evading-capture-san-francisco-tranquilized-released,Mountain lion nabbed after leading officials on chase through city streets for hours,0.000961,0.000017,0.000141,0.000086,0.000377,0.000034,0.000022,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/swing-state-mayor-sued-citys-muslim-holiday-displays-ignite-religious-favoritism-fight,Mayor tells Christian pastor 'you are not welcome here' in his own town,0.012736,0.000148,0.000643,0.006800,0.002267,0.000367,0.000353,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/food-drink/best-cheese-burger-according-expert-why-some-popular-picks-fall-flat,"The best cheese for a burger, according to expert — and why some popular picks fall flat",0.000824,0.000024,0.000180,0.000117,0.000298,0.000045,0.000028,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/dems-abandon-candidate-who-said-maga-more-destructive-than-nazis-shes-stuck-ballot,Dem candidate who called for ‘attack on US soil’ rejected by her own party,0.001219,0.000019,0.000123,0.000161,0.000255,0.000081,0.000030,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/travel/pilots-sudden-death-overnight-layover-puts-spotlight-fatigue-concerns,Airline captain dies during overnight layover as pilot rest practices face scrutiny,0.001263,0.000035,0.000183,0.000162,0.000278,0.000180,0.000036,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/outkick-sports/sophie-cunningham-gaslighting-female-athletes-naked-sydney-sweeney-ad,Sophie Cunningham says what other female athletes won't about Sydney Sweeney's ad,0.002191,0.000094,0.000822,0.000638,0.001762,0.000092,0.000235,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/outkick-sports/syracuse-football-coach-mocked-trying-intimidate-ref-mets-medical-staff-looks-lost-mlb-wag-brylie,Syracuse coach's embarrassing sideline stunt backfires in the most painful way possible,0.034691,0.000084,0.002745,0.000223,0.015193,0.000892,0.000515,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/ex-dem-insider-reveals-why-bidens-daughter-threatened-sue-her-parody,Ex-Dem insider who exposed cover-up reveals alleged threat Biden's daughter made,0.003381,0.000028,0.000407,0.000180,0.001645,0.000049,0.000131,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxweather.com/weather-news/what-kelvin-wave-why-california-should-watch,El Niño’s hidden 'Kelvin wave' threat could impact several West Coast states,0.000425,0.000020,0.000120,0.000088,0.000201,0.000031,0.000020,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/outkick-sports/heidi-klum-officially-kicks-off-oktoberfest-annual-tapping-keg-lane-kiffin-memes-bad-highways,Heidi Klum taps the Hofbrau keg and officially kicks off Oktoberfest season,0.000359,0.000077,0.000616,0.000167,0.000524,0.000086,0.000058,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/politics-cartoons-slideshow,Political cartoons of the day,0.000455,0.000047,0.000347,0.000156,0.000418,0.000053,0.000034,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/view-co-hosts-challenge-joy-behar-trump-health-gets-less-media-scrutiny-bidens,Behar called out after claiming Trump's health isn't getting same media scrutiny as Biden,0.001401,0.000012,0.000092,0.000085,0.000560,0.000022,0.000016,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/outkick-sports/patriots-coach-mike-vrabel-about-face-treveyom-henderson-activism-russini-scandal,Mike Vrabel changes stance on Patriots RB TreVeyon Henderson’s social activism,0.000444,0.000071,0.000543,0.000210,0.000609,0.000069,0.000040,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxbusiness.com/real-estate/americas-best-worst-cities-housing-affordability-ranked,America's housing report card crowns Midwest city the top metro market,0.000589,0.000019,0.000107,0.000108,0.000230,0.000033,0.000018,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/robert-de-niro-emotional-amy-poehler-praises-speaking-truth-power-regular-trump-critic,Robert De Niro gets teary-eyed as actress thanks him for speaking 'truth to power',0.002297,0.000021,0.000202,0.000139,0.000712,0.000033,0.000080,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxbusiness.com/technology/apples-iphone-18-goes-sale-customers-line-up-stores-worldwide,"Apple launches iPhone 18, drawing eager customers to stores worldwide",0.000358,0.000026,0.000144,0.000104,0.000197,0.000034,0.000024,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/tech/delivery-robots-swarm-chicago-sidewalk-viral-video,Dozen delivery robots swarm a Chicago sidewalk and nearly trap pedestrians,0.020860,0.000097,0.000370,0.001006,0.000758,0.008263,0.000160,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/entertainment/test-your-pop-culture-from-hollywood-heartland-23,Guess which Hollywood legend enlisted in the Army after winning an Oscar,0.000494,0.000023,0.000182,0.000094,0.000256,0.000031,0.000023,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://foxnews.com/nation.foxnews.com/?cmpid=org=NAT::ag=owned::m…&…,Don't Miss RAF 13! Tonight at 8p ET on Fox Nation!!!,0.000595,0.000027,0.000180,0.000108,0.000211,0.000052,0.000026,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://nation.foxnews.com/?cmpid=org=NAT::ag=owned::mc=FNC_display::src=FNC_web::cmp=Homepage::add=LindsayClancy_SnackBar&utm_source=FNC_display&utm_medium=FNC_web&utm_campaign=Homepage&utm_content=LindsayClancy_SnackBar,Stream Behind Closed Doors: The Lindsay Clancy Case exclusively on Fox Nation!,0.000397,0.000031,0.000234,0.000101,0.000252,0.000047,0.000030,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/games,"PLAY NOW! Crosswords, Word Search, Sudoku, Icon Match & 5 Across!",0.000388,0.000055,0.000411,0.000176,0.000372,0.000082,0.000042,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.fox.com/?cmpid=org=one::ag=synergy::mc=display::src=fn::cmp=100_o1_th3::cont=m2_tp1::add=03_17_02_00_39_00_04_A,"Stream the year’s biggest moments in sports LIVE on FOX One. Catch the NFL on FOX, college football, and more. Save 50% with this limited-time offer: just $99 for one year.",0.000435,0.000023,0.000133,0.000089,0.000193,0.000037,0.000023,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/deals/hanes-hoodie-amazon-deal,"Prepare for cooler weather with this $9 Hanes hoodie, now 68% off on Amazon",0.000555,0.000024,0.000184,0.000093,0.000260,0.000035,0.000024,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/outkick-sports/week-gainesville-forgot-football-inside-terror-gripped-florida-1990-murders,The week Gainesville forgot about football: Inside the terror that gripped Florida during the 1990 murders,0.000910,0.000028,0.000152,0.000174,0.000291,0.000053,0.000026,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/outkick-sports/heidi-klum-officially-kicks-off-oktoberfest-annual-tapping-keg-lane-kiffin-memes-bad-highways,"Heidi Klum officially kicks off Oktoberfest with annual tapping of the keg, Lane Kiffin memes & bad highways",0.001198,0.000022,0.000225,0.000141,0.000369,0.000046,0.000031,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/outkick-sports/former-espn-anchor-smears-caitlin-clark-fans-sweeping-false-accusations-racism,"Former ESPN anchor smears Caitlin Clark fans with sweeping, false accusations of racism | Matt Calkins",0.031857,0.000105,0.001032,0.001177,0.003558,0.000207,0.000242,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/tpusa-school-clash-spirals-threats-outrage-mother-denies-touching-screaming-indiana-teen,"TPUSA school clash spirals into threats and outrage as mother denies touching, screaming at Indiana teen",0.027863,0.000041,0.000416,0.001255,0.005381,0.000202,0.000245,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/ill-settle-not-crazy-denver-business-leaders-brace-socialist-shift-after-big-win-dsa,‘I’ll settle for not crazy’: Denver business leaders brace for socialist shift after big win for DSA,0.099140,0.000024,0.000580,0.000158,0.084415,0.000132,0.000133,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/grocery-boss-warns-mamdanis-city-run-stores-pit-government-against-its-own-citizens,Grocery boss warns Mamdani's city-run stores pit government against 'its own citizens',0.000942,0.000024,0.000132,0.000158,0.000313,0.000036,0.000021,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/colorados-socialist-surge-shakes-democratic-establishment,Colorado's socialist surge shakes up the Democratic establishment,0.001496,0.000018,0.000132,0.000152,0.000382,0.000047,0.000024,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/deprogrammed-former-dsa-insider-reveals-frightening-socialist-agenda-drove-him-extreme-ideology,Deprogrammed: Former DSA insider reveals ‘frightening’ socialist agenda drove him from ‘extreme’ ideology,0.000610,0.000020,0.000132,0.000106,0.000312,0.000027,0.000017,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/covid-2-0-lawmakers-push-back-sweeping-health-police-power-key-battleground-state,‘COVID 2.0’: Lawmakers push back on sweeping health 'police power' in key battleground state,0.000575,0.000018,0.000106,0.000087,0.000221,0.000031,0.000019,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/opinion/way-fix-social-security-solution-might-surprise-you,There is a way to fix Social Security. And the solution might surprise you,0.000527,0.000030,0.000162,0.000104,0.000199,0.000065,0.000034,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/trumps-epa-reforms-huge-boost-manufacturers-more-red-tape-cut-expert,"Trump's EPA reforms are a huge boost to manufacturers, but there's more red tape to cut: expert",0.001695,0.000014,0.000137,0.000089,0.000612,0.000038,0.000024,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/angel-mom-pleads-party-grow-up-immigration-after-newlywed-son-killed-truck-crash,Angel mom pleads with her party to 'grow up' on immigration after newlywed son killed in truck crash,0.004597,0.000010,0.000050,0.000388,0.000451,0.000086,0.000029,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/tim-scott-opens-miraculous-car-crash-survival-changed-course-his-life,Tim Scott opens up on ‘miraculous’ car crash survival that changed the course of his life,0.001242,0.000018,0.000160,0.000097,0.000357,0.000029,0.000022,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/homan-confirms-criminal-investigation-involving-ilhan-omar-says-knows-things-going,"Homan confirms 'criminal' investigation involving Ilhan Omar, says he knows 'things are going on’",0.000486,0.000021,0.000149,0.000124,0.000206,0.000030,0.000022,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/kyrsten-sinema-questions-whether-moderates-still-have-place-democratic-party,Kyrsten Sinema questions whether moderates still have a place in the Democratic Party,0.000374,0.000045,0.000334,0.000114,0.000393,0.000054,0.000037,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/congressman-tom-barrett-being-socialist-should-disqualify-him-peoples-consideration-my-district,Congressman Tom Barrett: 'Being a socialist should disqualify him for people's consideration in my district',0.002755,0.000018,0.000111,0.000337,0.000433,0.000108,0.000024,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/dems-data-center-attack-critical-senate-race-hits-snag-money-trail-surfaces-jekyll-hyde,Dem’s data center attack in critical Senate race hits snag when money trail surfaces: 'Jekyll-and-Hyde',0.001717,0.000018,0.000198,0.000090,0.000557,0.000044,0.000030,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/vance-calls-midterms-referendum-common-sense-versus-pure-unadulterated-crazy,Vance calls midterms a referendum on ‘common sense versus pure unadulterated crazy',0.488973,0.000054,0.000904,0.000783,0.421960,0.000202,0.000374,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/media/pro-life-vs-socialism-gop-lawmakers-divided-over-controversial-guaranteed-income-programs,Pro-life vs socialism: GOP lawmakers divided over controversial guaranteed income programs,0.000415,0.000025,0.000169,0.000097,0.000224,0.000036,0.000023,0.000000,100.000000,0.000000
